objectid,cl,logradouro,codbairro,bairro,total_transações,uso,principais_tipologias,média_percentual_transferido,média_área_construída,média_valor_transação,média_valor_imóvel,principal_transação_mercado,ano_transação,cd_utilizacao,mês_transação
14660419,071837,PRA DO FLAMENGO,015,Flamengo                  ,2,RESIDENCIAL,APARTAMENTO,62.5,70.5,671221.3,814126.465,COMPRA E VENDA,2016,01,1
14660420,071837,PRA DO FLAMENGO,015,Flamengo                  ,4,RESIDENCIAL,APARTAMENTO,100,73,951609.425,951609.425,COMPRA E VENDA,2016,01,4
14660421,071837,PRA DO FLAMENGO,015,Flamengo                  ,3,RESIDENCIAL,APARTAMENTO,100,169.666666,2735467.043333,2735467.043333,COMPRA E VENDA,2016,01,11
14660422,073585,RUA HONORIO DE BARROS,015,Flamengo                  ,2,RESIDENCIAL,APARTAMENTO,100,108.5,1173528.735,1173528.735,COMPRA E VENDA,2016,01,9
14660423,075804,RUA MACHADO DE ASSIS,015,Flamengo                  ,2,RESIDENCIAL,APARTAMENTO,100,77.5,1024368.92,1024368.92,COMPRA E VENDA,2016,01,10
14660424,076661,RUA MARQ DE ABRANTES,015,Flamengo                  ,7,RESIDENCIAL,APARTAMENTO,100,55,703805.48,703805.48,COMPRA E VENDA,2016,01,7
14660425,076687,RUA MARQ DE PARANA,015,Flamengo                  ,2,RESIDENCIAL,APARTAMENTO,100,68.5,672692.205,672692.205,COMPRA E VENDA,2016,01,12
14660426,078329,AVN OSWALDO CRUZ,015,Flamengo                  ,6,RESIDENCIAL,APARTAMENTO,100,94.666666,1396054.505,1396054.505,COMPRA E VENDA,2016,01,5
14660427,040873,ETR DO TINGUI,144,Campo Grande,7,RESIDENCIAL,APARTAMENTO,100,50.428571,175171.601428,175171.601428,COMPRA E VENDA,2015,01,9
14660428,054080,ETR JOAO MELO,144,Campo Grande,2,RESIDENCIAL,APARTAMENTO,100,47,104489.095,104489.095,COMPRA E VENDA,2015,01,3
14660429,054866,RUA ITAUNAS,144,Campo Grande,2,RESIDENCIAL,CASA,100,41,173687.24,173687.24,COMPRA E VENDA,2015,01,6
14660430,058842,RUA PROF RAMIRO DE MATOS,144,Campo Grande,2,RESIDENCIAL,CASA,100,129,634163.205,634163.205,COMPRA E VENDA,2015,01,10
14660431,098806,RUA GENTIL DE OURO,144,Campo Grande,2,RESIDENCIAL,APARTAMENTO,100,48.5,107823.98,107823.98,COMPRA E VENDA,2015,01,1
14660432,108605,RUA RIO DE CONTAS,144,Campo Grande,5,RESIDENCIAL,CASA,100,69.8,243864.346,243864.346,COMPRA E VENDA,2015,01,2
14660433,175190,RUA JOAQUIM PEREIRA VIANA,144,Campo Grande,2,RESIDENCIAL,CASA,100,57,177021.41,177021.41,COMPRA E VENDA,2015,01,9
14660434,175232,RUA JOAO MIGUEL DITOSO,144,Campo Grande,6,RESIDENCIAL,CASA,100,56,173915.75,173915.75,COMPRA E VENDA,2015,01,2
14660435,175257,RUA JOSE MAURICIO DE MELO,144,Campo Grande,4,RESIDENCIAL,CASA,100,72.75,202832.9575,202832.9575,COMPRA E VENDA,2015,01,2
14660436,175257,RUA JOSE MAURICIO DE MELO,144,Campo Grande,3,RESIDENCIAL,CASA,100,72.333333,202178.903333,202178.903333,COMPRA E VENDA,2015,01,5
14660437,175257,RUA JOSE MAURICIO DE MELO,144,Campo Grande,3,RESIDENCIAL,CASA,100,69.666666,208236.426666,208236.426666,COMPRA E VENDA,2015,01,8
